OBJECTID,ID,NAME,TELEPHONE,ADDRESS,CITY,STATE,COUNTY,X,Y
3001,10223437,GROVE HILL POLICE DEPARTMENT,251-275-3153,111 SOUTH CHURCH STREET,GROVE HILL,AL,CLARKE,-87.774662,31.7088269
3002,10223253,DELTA POLICE DEPARTMENT,318-633-9566,200 1ST STREET,DELTA,LA,MADISON,-90.9274354,32.3248999
3003,10223586,SPRINGVILLE POLICE DEPARTMENT,205-467-2701,6327 UNITED STATES HIGHWAY 11,SPRINGVILLE,AL,ST CLAIR,-86.473296,33.7742175
3004,10220844,DIXFIELD POLICE DEPARTMENT,207-562-4517,142 WILTON ROAD,DIXFIELD,ME,OXFORD,-70.4398939,44.5259769
3005,10770212,HAMLER POLICE DEPARTMENT,419-599-2810,MOBILE UNIT,HAMLER,OH,HENRY,-84.0336211,41.2281775
3006,10222875,BUNNELL POLICE DEPARTMENT,386-437-7508,1510 OLD MOODY BOULEVARD,BUNNELL,FL,FLAGLER,-81.2490093,29.4756115
3007,10769252,CITY OF FALLS CHURCH POLICE DEPARTMENT,703-241-5053,300 PARK AVENUE,FALLS CHURCH,VA,FALLS CHURCH CITY,-77.172534,38.8856401
3008,10026320,LAMPASAS COUNTY CONSTABLE - PRECINCT 4,512-556-8255,410 EAST 4TH STREET,LAMPASAS,TX,LAMPASAS,-98.178144,31.0646255
3009,10417782,EAST HELENA CITY POLICE DEPARTMENT,406-227-8686,316 EAST MAIN STREET,EAST HELENA,MT,LEWIS AND CLARK,-111.915252,46.5897751
3010,10048983,BULL SHOALS POLICE DEPARTMENT,870-445-4557,706 CS WOODS BOULEVARD,BULL SHOALS,AR,MARION,-92.5830133,36.3825707
3011,10223623,WALNUT GROVE POLICE DEPARTMENT,205-589-2553,4012 GADSDEN BLOUNTSVILLE ROAD,WALNUT GROVE,AL,ETOWAH,-86.306652,34.0656698
3012,10422903,EASTON POLICE DEPARTMENT,410-822-1111,106 WEST DOVER STREET,EASTON,MD,TALBOT,-76.0785565,38.7742097
3013,10305403,SHORELINE POLICE DEPARTMENT - WESTSIDE CENTER,206-546-3636,624 RICHMOND BEACH ROAD,SHORELINE,WA,KING,-122.365761,47.7653738
3014,10422997,FREDERICK POLICE DEPARTMENT,301-694-2100,100 WEST PATRICK STREET,FREDERICK,MD,FREDERICK,-77.4137937,39.4137159
3015,10423105,CHOWAN LAW ENFORCEMENT CENTER,252-482-2368,305 WEST FREEMASON STREET,EDENTON,NC,CHOWAN,-76.6129256,36.0655021
3016,10833966,CONNECTICUT STATE POLICE TROOP B - NORFOLK RESIDENT STATE TROOPER,860-542-5249,14 SHEPARD ROAD,NORFOLK,CT,LITCHFIELD,-73.1995765,41.9927163
3017,10222829,STUART POLICE DEPARTMENT,772-287-1122,830 SOUTHEAST MARTIN LUTHER KING JUNIOR BOULEVARD,STUART,FL,MARTIN,-80.2397546,27.1933485
3018,10305208,EASTERN WASHINGTON UNIVERSITY POLICE DEPARTMENT,509-359-6300,820 WASHINGTON STREET,CHENEY,WA,SPOKANE,-117.5884102,47.4860089
3019,10223168,DUBBERLY POLICE DEPARTMENT,318-371-1020,1748 BRUSHWOOD DRIVE,DUBBERLY,LA,WEBSTER,-93.2388508,32.5412036
3020,10223035,SPRINGHILL POLICE DEPARTMENT,318-539-2511,025 CLINIC STREET,SPRINGHILL,LA,WEBSTER,-93.4608794,33.0045543
3021,10760841,WAVERLY POLICE DEPARTMENT,931-296-4300,103 EAST MAIN STREET,WAVERLY,TN,HUMPHREYS,-87.7932096,36.0834028
3022,10223245,PROVENCAL POLICE DEPARTMENT,318-472-8767,1968 STATE HIGHWAY 117,PROVENCAL,LA,NATCHITOCHES,-93.2028936,31.6515354
3023,10770598,MARIETTA POLICE DEPARTMENT,740-376-2007,301 PUTNAM STREET,MARIETTA,OH,WASHINGTON,-81.4531803,39.4166544
3024,10223482,LEXINGTON POLICE DEPARTMENT,256-229-5564,11060 STATE HIGHWAY 101,LEXINGTON,AL,LAUDERDALE,-87.3714705,34.968176
3025,10223041,LAFAYETTE CITY POLICE DEPARTMENT,337-291-8600,900 EAST UNIVERSITY AVENUE,LAFAYETTE CITY,LA,LAFAYETTE,-92.0114636,30.2111073
3026,10839153,DELAWARE DEPARTMENT OF NATURAL RESOURCES AND ENVIRONMENTAL CONTROL - FORT DELAWARE STATE PARK RANGER STATION,302-834-7941,108 SOUTH REEDY POINT ROAD,DELAWARE CITY,DE,NEW CASTLE,-75.5814823,39.5499856
3027,10770284,SUGARCREEK POLICE DEPARTMENT,330-852-2212,202 FAIRVIEW STREET,SUGARCREEK,OH,TUSCARAWAS,-81.6403971,40.5046431
3028,10027571,WINCHESTER POLICE DEPARTMENT,860-379-2721,338 MAIN STREET,WINSTED,CT,LITCHFIELD,-73.0689191,41.9214727
3029,10223447,HARTFORD POLICE DEPARTMENT,334-588-2222,114 SOUTH 4TH AVENUE,HARTFORD,AL,GENEVA,-85.6978879,31.1017718
3030,10773464,WILBARGER COUNTY SHERIFFS OFFICE,940-552-6205,1700 WILBARGER STREET,VERNON,TX,WILBARGER,-99.2838593,34.1531847
3031,11532006,PEARL RIVER COMMUNITY COLLEGE FORREST COUNTY CAMPUS POLICE DEPARTMENT,601-554-5513,5448 UNITED STATES HIGHWAY 49 NORTH,HATTIESBURG,MS,FORREST,-89.2957545,31.2855755
3032,10760696,NEW JOHNSONVILLE POLICE DEPARTMENT,931-535-2700,323 LONG STREET,NEW JOHNSONVILLE,TN,HUMPHREYS,-87.9637363,36.0182839
3033,10834020,WESTBROOK POLICE DEPARTMENT,860-399-7304,866 BOSTON POST ROAD,WESTBROOK,CT,MIDDLESEX,-72.4588118,41.2815303
3034,10837833,CONNECTICUT STATE POLICE TROOP B BARRACKS - HEADQUARTERS,860-824-2500,463 ASHLEY FALLS ROAD,NORTH CANAAN,CT,LITCHFIELD,-73.3260381,42.0429372
